"Time (s)","Acceleration (m/s²)"
2.716874321E1,6.958909306E-2
2.721868921E1,7.290626509E-2
2.726862821E1,6.507324638E-2
2.731857921E1,3.821110753E-2
2.736852221E1,4.404479761E-2
2.741846421E1,6.924135366E-2
2.746841121E1,7.738033844E-2
2.751834521E1,7.458981461E-2
2.756829621E1,5.377138435E-2
2.761824221E1,5.704159684E-2
2.766815721E1,6.047637374E-2
2.771812721E1,6.573630693E-2
2.776805221E1,7.608188334E-2
2.781801821E1,6.389321157E-2
2.786794321E1,4.578002612E-2
2.791789321E1,4.977403860E-2
2.796784921E1,6.271032167E-2
2.801779121E1,8.195747444E-2
2.806774021E1,4.898073635E-2
2.811768021E1,7.506549017E-2
2.816760021E1,5.648359614E-2
2.821756921E1,4.521387415E-2
2.826749121E1,7.590577983E-2
2.831745421E1,6.393671303E-2
2.836740021E1,6.947996391E-2
2.841734521E1,8.087981889E-2
2.846729121E1,4.340067633E-2
2.851723621E1,7.595415092E-2
2.856717921E1,6.199665667E-2
2.861711921E1,7.829584384E-2
2.866703921E1,9.115949901E-2
2.871701121E1,4.395708389E-2
2.876695221E1,6.468064194E-2
2.881690021E1,6.126912771E-2
2.886682521E1,6.947858068E-2
2.891678521E1,4.888424770E-2
2.896672121E1,4.064853841E-2
2.901667521E1,7.595676572E-2
2.906661721E1,6.527569343E-2
2.911656021E1,7.593134678E-2
2.916650721E1,4.635061398E-2
2.921642321E1,4.946744625E-2
2.926639721E1,6.075008967E-2
2.931634021E1,7.892865602E-2
2.936628121E1,5.469169863E-2
2.941619621E1,5.280169855E-2
2.946615421E1,4.259617528E-2
2.951611521E1,6.574766698E-2
2.956606221E1,8.268946727E-2
2.961599521E1,6.274403361E-2
2.966594721E1,6.677133080E-2
2.971589521E1,4.714888911E-2
2.976580921E1,5.486217238E-2
2.981564446E1,7.346218912E-2
2.986558046E1,6.453081709E-2
2.991552946E1,6.588615600E-2
2.996545946E1,5.525041836E-2
3.001542646E1,6.686996602E-2
3.006536946E1,7.647068573E-2
3.011531146E1,4.412415083E-2
3.016525846E1,8.189033927E-2
3.021517246E1,4.681748583E-2
3.026514446E1,5.967848782E-2
3.031509146E1,6.489767368E-2
3.036501346E1,5.649472960E-2
3.041497746E1,8.464485293E-2
3.046491846E1,7.200489030E-2
3.051486646E1,1.116358845E-1
3.056480146E1,1.728870792E-1
3.061475146E1,2.266282663E-1
3.066469946E1,3.020225866E-1
3.071464146E1,3.309358729E-1
3.076458946E1,3.604489192E-1
3.081453046E1,4.227883730E-1
3.086447546E1,4.555910554E-1
3.091442246E1,4.880287693E-1
3.096435646E1,5.280688722E-1
3.101430546E1,6.470201251E-1
3.106425446E1,6.765946109E-1
3.111419746E1,7.274844052E-1
3.116413446E1,7.142610147E-1
3.121406746E1,7.294519640E-1
3.126403146E1,7.731717855E-1
3.131396446E1,8.243970637E-1
3.136390046E1,8.986391755E-1
3.141386346E1,9.277618762E-1
3.146377846E1,9.314249960E-1
3.151373246E1,9.185295613E-1
3.156368246E1,9.066344535E-1
3.161362446E1,8.922965983E-1
3.166358046E1,8.621905421E-1
3.171352946E1,8.126478440E-1
3.176346946E1,7.738759949E-1
3.181341346E1,6.969725960E-1
3.186336246E1,6.475018479E-1
3.191330546E1,5.846361082E-1
3.196323046E1,5.731311705E-1
3.201319646E1,5.190172654E-1
3.206312146E1,4.819012820E-1
3.211306346E1,4.255087097E-1
3.216301746E1,3.940229371E-1
3.221296546E1,4.142957966E-1
3.226291346E1,3.198550813E-1
3.231284446E1,2.640449794E-1
3.236280646E1,1.941765813E-1
3.241272446E1,1.351943611E-1
3.246269646E1,1.225004415E-1
3.251261546E1,1.396973348E-1
3.256256546E1,8.220838394E-2
3.261253046E1,3.018095028E-2
3.266245646E1,-1.219002566E-2
3.271240646E1,2.315056659E-3
3.276236346E1,1.226642094E-2
3.281230646E1,4.035616133E-2
3.286225446E1,1.763701116E-2
3.291219446E1,3.427206492E-2
3.296214146E1,5.293557238E-2
3.301208846E1,5.440914564E-2
3.306200446E1,4.820934014E-2
3.311197446E1,4.348933382E-2
3.316190246E1,4.038833518E-2
3.321186546E1,4.756201591E-2
3.326179146E1,6.568945064E-2
3.331173246E1,5.990044950E-2
3.336169846E1,7.782142087E-2
3.341164246E1,5.808562999E-2
3.346159046E1,7.107391216E-2
3.351152246E1,5.413569283E-2
3.356147746E1,8.491351010E-2
3.361142446E1,1.151042966E-1
3.366135646E1,1.736403961E-1
3.371131146E1,2.055804078E-1
3.376123546E1,3.236298647E-1
3.381118046E1,2.045152168E-1
3.386114446E1,1.476257447E-1
3.391107646E1,-3.565374747E-2
3.396102146E1,-3.961312663E-2
3.401096646E1,3.267152953E-2
3.406092746E1,6.663133384E-2
3.411087046E1,9.641022740E-2
3.416081346E1,6.433963917E-2
3.421076246E1,3.813802030E-2
3.426070446E1,4.411307242E-2
3.431064846E1,6.969228317E-2
3.436059646E1,8.620773784E-2
3.441053946E1,6.101718900E-2
3.446048246E1,3.008150662E-2
3.451042846E1,6.870470809E-2
3.456037346E1,9.704876345E-2
3.461030146E1,9.235826661E-2
3.466025046E1,6.118816924E-2
3.471020846E1,3.573243110E-2
3.476015146E1,4.645700470E-2
3.480999283E1,9.565127343E-2
3.485993483E1,8.976702663E-2
3.490986283E1,8.011840726E-2
3.495982383E1,4.779637985E-2
3.500976783E1,6.060902011E-2
3.505971683E1,2.978706459E-2
